figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
signflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,sign_flip,0.0,0.0,mta,0.9877,98.77,1,1,
signflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,sign_flip,0.1,10.0,mta,0.9303,93.03,1,1,
signflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,sign_flip,0.2,20.0,mta,0.098,9.8,1,1,
signflip_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,sign_flip,0.3,30.0,mta,0.098,9.8,1,1,
signflip_sweep,mnist,IID,MNIST IID,krum,Krum,sign_flip,0.0,0.0,mta,0.9352,93.52000000000001,1,1,
signflip_sweep,mnist,IID,MNIST IID,krum,Krum,sign_flip,0.1,10.0,mta,0.9539,95.39,1,1,
signflip_sweep,mnist,IID,MNIST IID,krum,Krum,sign_flip,0.2,20.0,mta,0.9493,94.93,1,1,
signflip_sweep,mnist,IID,MNIST IID,krum,Krum,sign_flip,0.3,30.0,mta,0.9474,94.74000000000001,1,1,
signflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,sign_flip,0.0,0.0,mta,0.9859,98.59,1,1,
signflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,sign_flip,0.1,10.0,mta,0.9851,98.50999999999999,1,1,
signflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,sign_flip,0.2,20.0,mta,0.9808,98.08,1,1,
signflip_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,sign_flip,0.3,30.0,mta,0.9725,97.25,1,1,
signflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,sign_flip,0.0,0.0,mta,0.9872,98.72,1,1,
signflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,sign_flip,0.1,10.0,mta,0.9862,98.61999999999999,1,1,
signflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,sign_flip,0.2,20.0,mta,0.9836,98.36,1,1,
signflip_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,sign_flip,0.3,30.0,mta,0.9667,96.67,1,1,
signflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,sign_flip,0.0,0.0,mta,0.987,98.7,1,1,
signflip_sweep,mnist,IID,MNIST IID,pdfl,PDFL,sign_flip,0.1,10.0,mta,0.9865,98.65,1,1,
